phase,feature_set,model_1,model_2,b,c,p_value,significant
utgångsposition,pose,LogisticRegression,RandomForest,1,1,1.0,False
utgångsposition,pose,LogisticRegression,XGBoost,9,0,0.00390625,True
utgångsposition,pose,RandomForest,XGBoost,9,0,0.00390625,True
utgångsposition,molab,LogisticRegression,RandomForest,0,0,1.0,False
utgångsposition,molab,LogisticRegression,XGBoost,8,0,0.0078125,True
utgångsposition,molab,RandomForest,XGBoost,8,0,0.0078125,True
utgångsposition,combined,LogisticRegression,RandomForest,0,1,1.0,False
utgångsposition,combined,LogisticRegression,XGBoost,9,0,0.00390625,True
utgångsposition,combined,RandomForest,XGBoost,10,0,0.001953125,True
rörelsestart,pose,LogisticRegression,RandomForest,1,1,1.0,False
rörelsestart,pose,LogisticRegression,XGBoost,2,1,1.0,False
rörelsestart,pose,RandomForest,XGBoost,2,1,1.0,False
rörelsestart,molab,LogisticRegression,RandomForest,1,0,1.0,False
rörelsestart,molab,LogisticRegression,XGBoost,2,0,0.5,False
rörelsestart,molab,RandomForest,XGBoost,1,0,1.0,False
rörelsestart,combined,LogisticRegression,RandomForest,0,0,1.0,False
rörelsestart,combined,LogisticRegression,XGBoost,2,0,0.5,False
rörelsestart,combined,RandomForest,XGBoost,2,0,0.5,False
rörelseutförande,pose,LogisticRegression,RandomForest,0,1,1.0,False
rörelseutförande,pose,LogisticRegression,XGBoost,2,1,1.0,False
rörelseutförande,pose,RandomForest,XGBoost,3,1,0.625,False
rörelseutförande,molab,LogisticRegression,RandomForest,0,1,1.0,False
rörelseutförande,molab,LogisticRegression,XGBoost,1,2,1.0,False
rörelseutförande,molab,RandomForest,XGBoost,1,1,1.0,False
rörelseutförande,combined,LogisticRegression,RandomForest,0,0,1.0,False
rörelseutförande,combined,LogisticRegression,XGBoost,2,1,1.0,False
rörelseutförande,combined,RandomForest,XGBoost,2,1,1.0,False
total,pose,LogisticRegression,RandomForest,1,0,1.0,False
total,pose,LogisticRegression,XGBoost,1,1,1.0,False
total,pose,RandomForest,XGBoost,0,1,1.0,False
total,molab,LogisticRegression,RandomForest,0,0,1.0,False
total,molab,LogisticRegression,XGBoost,1,1,1.0,False
total,molab,RandomForest,XGBoost,1,1,1.0,False
total,combined,LogisticRegression,RandomForest,0,1,1.0,False
total,combined,LogisticRegression,XGBoost,1,2,1.0,False
total,combined,RandomForest,XGBoost,1,1,1.0,False
